id,first_capture
221917,20140703
221918,20140813
221919,20140813
221920,20140813
221921,20140813
221922,20140813
221923,20140813
221924,20140813
221925,20140812
221926,20140813
221927,20140813
221928,20140813
221929,20140813
221930,20140813
221931,20140829
225672,20140813
225991,20150505
225998,20141006
226048,20140813
228497,20140817
228671,20140813
228672,20140813
228673,20140813
228971,20140703
228972,20140703
228973,20140703
228974,20140703
228975,20140703
228976,20140703
228977,20140703
228978,20140703
228979,20140703
228980,20140703
228981,20140703
228982,20140703
228983,20140703
228984,20140703
228985,20140703
228986,20140703
228987,20140703
228988,20140703
228989,20140703
228990,20140703
228993,20140703
228994,20140703
228996,20140703
229007,20140703
229012,20140814
229021,20140814
229025,20140703
229042,20140813
229043,20140813
229044,20140813
229045,20140813
229046,20140817
229047,20140813
229048,20140813
229049,20140813
229131,20140703
229132,20140703
229133,20140703
229134,20140703
229135,20140703
229136,20140703
229137,20140703
229138,20140703
229139,20140703
229140,20140703
229141,20140703
229142,20140703
229143,20140703
229144,20140703
229145,20140703
231250,20140720
231251,20140731
231252,20140720
231253,20140720
231254,20140720
231255,20140731
233597,20140721
233598,20140724
233611,20140721
233619,20140721
233622,20140724
233627,20230321
233644,20140802
233655,20140802
233783,20140813
233784,20140813
233785,20140813
233786,20140813
233787,20140813
236256,20140813
236257,20140812
236258,20140813
236259,20140813
236260,20140813
236261,20140829
236262,20140813
236263,20140813
236264,20140813
236265,20140813
236266,20140813
236267,20140813
236268,20140813
236293,20140813
236330,20140813
236372,20140812
236718,20210420
236813,20140706
237384,20140815
237385,20140721
237386,20140817
237387,20140815
237388,20140815
237389,20140815
237390,20140815
237391,20140815
237392,20140815
237393,20140815
237394,20140815
237395,20140815
237396,20140815
237397,20140815
237398,20140815
237399,20140815
237400,20140815
237401,20140817
237402,20140815
237403,20140815
237404,20140817
237405,20140815
237406,20140815
237407,20140815
237408,20140815
237412,20140816
237456,20140810
237459,20140810
237463,20140810
237519,20140815
237520,20140815
237521,20140815
237522,20140815
237523,20140815
237524,20140815
237525,20140817
237526,20140815
237527,20140815
237528,20140815
237529,20140817
237530,20140815
237531,20140815
237532,20140815
237533,20140817
237534,20140815
237535,20140812
239299,20140813
239300,20140813
239302,20140813
239303,20140813
239306,20140813
239308,20140829
239309,20140813
239310,20140724
239311,20140813
239312,20140813
239313,20140813
239314,20140813
239315,20140813
239316,20140813
239317,20140813
239318,20140724
239319,20140813
239320,20140813
239321,20140813
239322,20140813
239323,20140813
239324,20140813
239325,20140813
239326,20140813
239327,20140724
239338,20140817
239707,20140813
239745,20140813
239746,20140813
239747,20140813
239748,20140813
239749,20140813
239750,20140813
239751,20140813
239752,20140813
239753,20140813
239754,20140813
239755,20140813
239756,20140813
239757,20140813
239758,20140813
239759,20140813
239760,20140813
240259,20140813
240260,20140813
240261,20140813
240262,20140813
240263,20140813
240264,20140813
241879,20140812
241880,20140812
241881,20140812
241882,20140813
241883,20140721
243673,20140813
243674,20140812
243675,20140812
243676,20140812
243677,20140812
243678,20140812
243679,20140812
243680,20140812
243681,20140812
243682,20140812
243683,20140812
243684,20140812
243685,20140812
243686,20140812
243687,20140812
243688,20140812
243689,20140812
243690,20140813
243691,20140813
243692,20140812
243693,20140812
243694,20140813
243695,20140812
243696,20140812
243697,20140812
243698,20140812
243699,20140813
243700,20140812
243701,20140812
243702,20140812
243703,20140812
243704,20140812
243705,20140813
243706,20140813
243707,20140813
243708,20140812
243709,20140812
243710,20140812
243711,20140812
243712,20140813
243713,20140812
243714,20140813
243715,20140813
243716,20140812
243717,20140813
243718,20140813
243719,20140813
243720,20140813
243721,20140813
243722,20140812
243723,20140812
243724,20140812
243725,20140812
243726,20140812
243733,20140812
243734,20140812
243735,20140812
243736,20140812
243737,20140812
243738,20140829
243739,20140812
243740,20140813
243741,20140829
